章节,分组,题型,题号,题目,选项A,选项B,选项C,选项D,选项E,选项F,答案
第十章,测试题,单选题,,* 嘉靖二十九年(1550)，鞑靼首领汗发兵入塞，围困北京，在城外焚掠骚扰八日之后，在获得明廷通贡承诺后退兵，史称“( )”。,土木堡之变,庚戌之变,靖康之变,陈桥兵变,,,B
第十章,测试题,单选题,,* 嘉靖三十二年(1553)四月，倭寇主力横冲直撞侵犯江浙地区，年近花甲的( )不顾自己年迈体弱，率兵从广西田州顺右江而下，一路跋山涉水数千里至浙江嘉兴抗倭，奋勇杀敌，屡立战功，成就了一段保家卫国的传奇。,郑成功,瓦氏夫人,林则徐,李鸿章,,,B
第十章,测试题,单选题,,** 嘉靖三十四年(1555)，明朝官军与西南军队协力合作，取得了抗击( )的“王江泾大捷”。,荷兰,葡萄牙,倭寇,英国,,,C
第十章,测试题,单选题,,"* 明末，西方殖民者不断侵扰我国东南沿海，侵占澎湖、台湾等地。1622年,荷兰舰队占领澎湖，各族军民奋起反抗，( )年收复澎湖;",1622,1623,1624,1625,,,C
第十章,测试题,单选题,,** 明代时，( )经多人、多路径引入中国并实现本土化。,水稻,小麦,番薯,棉花,,,C
第十章,测试题,单选题,,** 16世纪中叶，随着一系列财政政策的变革，明代白银( )，标志着中国白银经济或者说“白银时代”的形成。,货币化,商品化,市场化,工业化,,,A
第十章,测试题,单选题,,* 嘉靖年间，丰州川(今内蒙古呼和浩特)出现了有一定规模的农牧混合社会即( )的群体，被称为“板升”。他们是以北迁汉人为主体，间杂大量蒙古百姓而形成的农业定居聚落。,佃农,天客,居屋佃作,达军,,,C
第十章,测试题,单选题,,* 随着板升农牧混合聚落的壮大，蒙古诸部通行的《图们汗法典》越来越不能适应日趋复杂的社会形势。为此，俺答汗吸收中原刑律，修改蒙古习惯法，编写并颁行了( )。,卫拉特法典法典,喀尔喀法典,俺答汗法典,喀尔喀七旗法典,,,C
第十章,测试题,单选题,,** 明代延续了宋元以来( )在思想领域中的正统地位，将其确定为官方正学。,程朱理学,道学,儒学,释家,,,A
第十章,测试题,单选题,,** 在西南地区，明朝着力推行以( )子弟为对象的儒学教育。,士官,流官,土司,县官,,,C
第十章,测试题,单选题,,** 因明朝的统治区域正好是在蒙古以南，蒙古人还将明朝皇帝称为( )。,草原可汗,百姓的文殊菩萨和转轮圣王,伊斯兰教庇护者,地处南方的如同转轮王一般的大明可汗,,,D
第十章,测试题,单选题,,** 明代宫廷保存下来的历史文献( )是高昌馆编译的回鹘文与汉文对照公文集，收录了哈密、吐鲁番一带和诸“地面”与明中央政府往来的文书。,《高昌馆课》,玄奘传,蒙鞑备录,金光明最胜王经,,,A
第十章,测试题,单选题,,** 明永乐、宣德时期，( )是中外友好往来的佳话，也是中华民族爱好和平的重要体现。,张骞通西域,郑和七下西洋,西南通西南夷,南平百越,,,B
第十章,测试题,单选题,,** 在西域，从14世纪中叶开始，东察合台汗国统治者以战争等手段，将( )推行到塔里木盆地北缘、吐鲁番盆地和哈密一带。,佛教,基督教,摩尼教,伊斯兰教,,,D
第十章,测试题,单选题,,** 到16世纪初，伊斯兰教取代了( )在西域的主导地位，成为新疆地区主要的宗教信仰，并延续至今。,萨满教,佛教,摩尼教,基督教,,,B
第十章,测试题,单选题,,** 到16世纪初，伊斯兰教取代了佛教在西域的主导地位，成为新疆地区主要的宗教信仰，并延续至今。但新疆的伊斯兰教仍然有着鲜明的地域特色，典型的表现就是( )。,自然崇拜,敬天地,麻扎朝拜,祖先崇拜,,,C
第十章,测试题,单选题,,** 1439年，瓦刺首领也先兼并( )诸部，瓦刺的势力达到顶峰，力图恢复元朝一统天下的盛况。,瓦剌,喀尔喀,察哈尔,蒙古,,,D
第十章,测试题,多选题,,* 洪武十四年(1381)，明廷命傅友德率三十万大军平滇。次年，明廷在云南建立( )和( )。云南各族或被讨平，或被招抚，悉数归附。,都指挥使,布政使司,羁縻都司,都督佥事,,,AB
第十章,测试题,多选题,,** 洪武七年(1374)，撒里畏兀儿安定王卜烟帖木儿遣使朝贡。次年，明廷设( )、( )拱卫西北。,安定卫,肃南卫,哈密卫,阿端卫,,,AD
第十章,测试题,多选题,,* 明朝从中央到地方，( )依次是六部、承宣布政使司、府、州、县;( )则依次是五军都督府，都指挥使司、卫、所。两套体制各有其组织架构和管辖权。,立法系统,行政系统,军事系统,司法系统,,,BC
第十章,测试题,多选题,,* 明朝在东北的西辽河一带，为( )设朵颜卫、福余卫、泰宁卫三卫;在辽东都司外，为( )设建州卫、兀者卫、奴尔干卫等上百卫。,蒙古兀良哈部,索伦部,女真等部,喀尔喀部,,,AC
第十章,测试题,多选题,,** 永乐九年(1411)，在( )、( )及( )建立奴尔干都司。,黑龙江,乌苏里江流域,库页岛地区,漠北,,,ABC
第十章,测试题,多选题,,* 嘉峪关外，随着北元势力撤走，蒙古、撒里畏兀儿等部族纷纷归附，明太祖设安定卫、阿端卫、曲先卫、罕东卫、( )、( )、( )关西七卫，任命归附的边疆族群首领为指挥、都指挥同知等官职。,安南卫,沙州卫,赤斤蒙古卫,哈密卫,,,BCD
第十章,测试题,多选题,,** 在西番，明朝废除元朝的三个“宣慰使司都元帅府”，建立( )、( )、( )。,乌斯藏,朵甘行都指挥使司,奴儿干都司,俄力思军民元帅府,,,ABD
第十章,测试题,多选题,,** 在西番，明朝建立乌斯藏、朵甘行都指挥使司与俄力思军民元帅府。分别管理( )、( )、( )地区的军政事务。,前后藏,康巴藏区,阿里地区,青海,,,ABC
第十章,测试题,多选题,,* 明朝时期，西南地区的卫所军士更是本地族群居多，云南大理卫、洱海卫、( )、( )、( )等，都被纳入卫所体系之中。,云南安南卫,蒙化卫诸卫的土军,广西的“撞兵”,四川建昌的土军,,,BCD
第十章,测试题,多选题,,* 明初，从洪武元年(1368)至洪武二十三年(1390)，大量蒙古部众南下归附，削弱了北元的势力。东北蒙古部众归降后，明设( )、( )、( )三个羁縻卫所，史称“兀良哈三卫”。,泰宁卫,福余卫,乌梁海卫,朵颜卫,,,ABD
第十章,测试题,多选题,,"* 明成祖既对鞑靼和瓦剌采取“扶弱抑强，分而御之”之策。永乐七年(1409),分别分封瓦刺( )、( )、( )为顺宁王、贤义王、安乐王，以实现“顺则抚之”的目标。",马哈木,太平,把秃孛罗,安克帖木儿,,,ABC
第十章,测试题,多选题,,* 明朝万历二十年(1592)，丰臣秀吉率军全面侵入朝鲜，并扬言要借道朝鲜入侵中国。明朝派军队援朝作战，这支军队以东北、浙江的汉人为主体，同时包括( )、( )、( )等不同族群的士兵。中朝联军在万历二十五年(1597)全面击退日军。,蒙古人,女真人,回回人,大和人,,,ABC
第十章,测试题,多选题,,** 明朝在边疆地区推行包括( )、( )、( )等多种形式的屯田。,军屯,民屯,犯屯,商屯,,,ABD
第十章,测试题,多选题,,** 明中后期，人口数量快速增长，这与玉米、番薯等美洲高产作物的传入有关。,水稻,小麦,玉米,番薯,,,CD
第十章,测试题,多选题,,* 明代，农耕和游牧经济之间的依存度不断提高，农牧经济关系进入新阶段。中原与蒙古的( )、中原与西南部族的( )是农牧经济互相依存的最好体现。,“封贡互市”,绢马互市,丝绸之路,“茶马贸易”,,,AD
第十章,测试题,多选题,,** 朝贡是明前中期中原与蒙古经济互动的主流模式。仁宗、宣宗时，朝贡贸易日益成熟，形成( )、( )、( )等多种形式。,漠南贸易,京城贸易,沿途贸易,三边互市,,,BCD
第十章,测试题,多选题,,** 明代内附的族群包括女真、( )、( )、( )、( )等。,鞑靼,兀良哈,瓦刺,撒里畏兀儿,,,ABCD
第十章,测试题,多选题,,** 来降的故元旧官部众及塞外蒙古、女真人多被安置在( )。哈密等地的大批畏兀儿、哈喇灰等族，部分定居( )，部分迁往( )。,卫所,漠北,西北,中原,,,ACD
第十章,测试题,多选题,,* 有明一代，大量中原民众因军事、经商、仕宦、流放流向南方民族地区。移民与( )、( )、( )、( )等当地族群经过长时间的交往与杂居，形成了西南边疆“大杂居、小聚居、交错居住”的人口分布格局。,罗罗,棘人,苗人,峒蛮,,,ABCD
第十章,测试题,多选题,,** 明成祖命翰林学院学士胡广等人编写了官学教材( )、( )、( )并颁行于天下。此后，这三部教材成为科举取士的唯一标准。,《五经大全》,《四书大全》,《熹平石经》,《性理大全》,,,ABD
第十章,测试题,多选题,,* 伴随着儒学在边疆的传播，知识文化和通用语言文字也在边疆日益普及，边疆族群中还出现了( )以及( )、( )等，体现了各族中华文化认同的提升与扩展。,用汉字书写的地方规约,汉姓汉名,家谱,用双语书写的地方规约,,,ABC
第十章,测试题,多选题,,* 在鼓励儒学的时代背景下，古代少数民族的诗文创作日益繁荣。今天的白、回、土家、( )、( )、( )、( )等少数民族在其形成发展过程中，都为明代丰富多元的文化艺术贡献了力量。,壮,蒙古,彝,苗,,,ABCD
第十章,测试题,多选题,,** 明朝保持着对边疆地区的政治文化领导力。在边疆人民的心目中，明朝皇帝也兼有( )、( )和( )、( )等多种身份。,草原可汗,百姓的文殊菩萨,转轮圣王,伊斯兰教庇护者,,,ABCD
第十章,测试题,多选题,,** 明代藏汉之间的文化交流也更加密切，( )、( )、( )、( )等汉文典籍传入西藏，对儒家思想的传入发挥了重要作用。,《御制大诰》,《周易》,《尚书》,《毛诗》,,,ABCD
第十章,测试题,多选题,,* 小说方面，元明之际，《三国演义》和《水浒传》相继成书，明后期又涌现出( )及( )等各类小说作品，元明两代确立了小说在中国文学史上的重要地位。,西游记,高昌馆课,三言二拍,西南彝志,,,AC
第十章,测试题,判断题,,** 清末，有人将元明鼎革说成是一场“汉族的复国运动”，这与历史事实不符。,,,,,,,对
第十章,测试题,判断题,,** 北伐前，尽管朱元璋一度喊出“驱逐胡虏，恢复中华”的口号，但其目的还是“定天下于一”。,,,,,,,对
第十章,测试题,判断题,,** 明军反复宣传“华夷无间，姓氏虽异，抚字如一”的主张，旗帜鲜明地宣扬“天下一家”的立场。,,,,,,,对
第十章,测试题,判断题,,** 明朝还“华夷无间”的开明族群观念，全面继承元代疆域管理模式，采取以招抚为主、征讨为辅的策略，将边疆地区纳入王朝版图。,,,,,,,对
第十章,测试题,判断题,,* 1382年，明廷在云南建立河州卫和乌斯藏。云南各族或被讨平，或被招抚，悉数归附。此后，明朝命沐英及其后人世代镇守云南，设置府、州和县，大大加强了对云南省的管辖。,,,,,,,错
第十章,测试题,判断题,,"** 明朝对藏传佛教各派首领“多封众建”,设置羁縻都司，实施流官制度。",,,,,,,错
第十章,测试题,判断题,,* 明朝从中央到地方，行政系统依次是六部、承宣布政使司、府、州、县;军事系统则依次是五军都督府，都指挥使司、卫、所。两套体制各有其组织架构和管辖权。,,,,,,,对
第十章,测试题,判断题,,** 在西域地区，明朝开展了卓有成效的治理，明朝对西域朝贡使臣往往授予羁縻武职，以示优容。,,,,,,,对
第十章,测试题,判断题,,* 1347年，蒙古四大汗国之一的察合台汗国分裂，秃忽鲁帖木儿为西察合台汗国君主。明朝史籍根据其都城变迁，先后称之为别失八里或亦力把里等。,,,,,,,错
第十章,测试题,判断题,,** 明廷依托流管制度强化对南方山地族群的治理，在滇黔川桂及湖广西部等地，明朝因俗而治，任命族群头领担任地方官吏。,,,,,,,错
第十章,测试题,判断题,,** 明朝在滇黔川桂及湖广西部等地，明朝因俗而治，任命族群头领担任地方官吏。这些土官或土司既负责本地基层治理，但不用向朝廷承担纳税、服徭役和征兵等义务。,,,,,,,错
第十章,测试题,判断题,,* 为制约、监管土官，明廷任命流官担任土官衙门的佐贰官、首领官，形成土流并治的职官体系，为“改土归流”留下空间。,,,,,,,对
第十章,测试题,判断题,,** 明成祖既对鞑靼和瓦剌采取“扶弱抑强，分而御之”之策，又以怀柔之术与蒙古诸部建立封贡关系。,,,,,,,对
第十章,测试题,判断题,,"** 明太祖朱元璋言“农为国本，百需皆其所出”,尤其重视农业生产。",,,,,,,对
第十章,测试题,判断题,,** 朝贡是明前中期中原与蒙古经济互动的主流模式。,,,,,,,对
第十章,测试题,判断题,,** 茶马贸易指中原与西部各族“以茶易马”的经贸活动，是当时西南地区经济交流的重要形式。,,,,,,,对
第十章,测试题,判断题,,** 明朝主导了中国历史上规模最大、历时最长、范围最广的官方移民。,,,,,,,对
第十章,测试题,判断题,,** 对南方尤其是西南地区的经略和开发，是明朝巩固和发展多族群大一统王朝的突出成就。,,,,,,,对
第十章,测试题,判断题,,* 明成祖命翰林学院学士胡广等人编写了官学教材《五经大全》《四书大全》《性理大全》并颁行于天下。此后，这三部教材成为科举取士的唯一标准。,,,,,,,对
第十章,测试题,判断题,,** 明初，诸儒在思想上总体恪守宋儒格套，逐渐形成学术专制和八股教条。明中期以后，儒学实现了由阳明心学向程朱理学的转变。,,,,,,,错
第十章,测试题,判断题,,** 元明以来，人们普遍接受儒释道只是理解现实的不同方式。明初，朝廷亦承认三教合法地位，三教出现相互趋近、融合的现象。,,,,,,,对
第十章,测试题,判断题,,* 《华夷译语·鞑靼馆来文》记载了明朝兀良哈三卫及女真人在与明廷交往时，以“可汗洪福前”的套语称颂明朝君主，明朝皇帝的“可汗”身份十分清晰。,,,,,,,对
第十章,测试题,判断题,,** 五世达赖喇嘛所著的《西藏王臣记》将封赐乌斯藏阐化王家族的明朝皇帝敬称为“中华文殊室利皇帝”。,,,,,,,对
第十章,测试题,判断题,,* 生活在中华大地、热爱中华文化的中国穆斯林整合伊斯兰文化与中华文化的丰富资源，以汉语为母语、以儒学为资源，推动构建了伊斯兰教中国化的思想体系，回儒群体的形成，是明代伊斯兰教中国化的重要表现。,,,,,,,对
第十章,测试题,判断题,,* 在西域，从14世纪中叶开始，东察合台汗国统治者以战争等手段，将伊斯兰教推行到塔里木盆地北缘、吐鲁番盆地和哈密一带。当地居民原本信仰的袄教、摩尼教、景教等逐渐消失，佛教、道教也趋于衰微。,,,,,,,"对
章节测验
已完成"
第十一章,章节测验,单选题,,"清初，准噶尔部噶尔丹崛起，控制整个西北地区，勾结沙俄，进攻喀尔喀三部，
三次亲征，历经六年，击败噶尔丹，使西北边疆暂获安宁(  )。",顺治,康熙,雍正,乾隆,,,B
第十一章,章节测验,单选题,,清朝道光六年，张格尔得   之助，率浩罕兵入侵喀什噶尔、英吉沙尔、叶尔羌、和阗等地，遭到当地兵民的坚决反抗(  )。,法国,英国,沙俄,荷兰,,,B
第十一章,章节测验,单选题,,** 清时，   帝在多伦与漠北喀尔喀蒙古各部首领会盟，一体编设喀尔喀三部，从此喀尔喀蒙古内部日渐稳定，成为拱卫北疆的重要力量(  )。,康熙,雍正,乾隆,嘉庆,,,A
第十一章,章节测验,单选题,,清政府在内地设置省、府、县等，进行直接管理，延揽汉、满、蒙古等各族贤人能士共同参与管理，权自   (  )。,县,府,省,中央,,,D
第十一章,章节测验,单选题,,清政府在中央层面制定了治理边疆族群的专门法规，但通行全国的清朝边疆族群治理法规只有   (  )。,《大清律》,《圣谕广训》,《善抚人民奏》,《大清一统志》,,,A
第十一章,章节测验,单选题,,** 清朝时，新疆地方的经济政治中心是  (  )。,哈密,迪化,伊犁,巴里坤,,,C
第十一章,章节测验,单选题,,** 清朝西征准噶尔期间，以  为主的内地商贾纷纷开展随军贸易，赴大漠经商，逐渐形成旅蒙行商群体(  )。,徽商,自商,晋商,苏商,,,C
第十一章,章节测验,单选题,,** 电视剧《乔家大院》展现了清朝时期的商业贸易，其原型是乾隆年间由山西祁县乔家创立的    商号(  )。,聚源昌,德厚成,益龄堂,复盛公,,,D
第十一章,章节测验,单选题,,** 清朝时期，经过长时间的“走西口”，在鄂尔多斯地区为中心形成了   的定居圈(  )。,汉人,回人,满人,蒙古人,,,A
第十一章,章节测验,单选题,,雍正时因   出嫁，汉人移民从直隶滦州迁到了蒙古草原，形成了金、王、李、赵、贾、孟、何、高“八姓蒙古”(  )。,蓝齐公主,温恪公主,端柔公主,端静公主,,,C
第十一章,章节测验,单选题,,** 清朝时期，    被视为“龙兴之地”(  )。,西北地区,江南地区,华北地区,东北地区,,,D
第十一章,章节测验,单选题,,** 孔子是中国古代著名的思想家、教育家和政治家，儒家学派的创始人，   对其御书“万世师表”(  )。,宋徽宗,元仁宗,明太祖,康熙帝,,,D
第十一章,章节测验,单选题,,** 时期，皇帝屡屡亲自参与论辩、清整经说、编纂经书，引领治学风尚，形成了独具特色的“帝王经学”(  )。,宋朝,元朝,明朝,清朝,,,D
第十一章,章节测验,单选题,,** 清朝时期，    作为通用文字的地位趋于稳固，其传达的教化理念是“同文”的核心(  )。,汉文,满文,蒙古文,察合台文,,,A
第十一章,章节测验,单选题,,** 下列哪个选项是清朝时期新生的满、汉复合词(  )。,耷拉,档案,收养,捕娄子,,,B
第十一章,章节测验,单选题,,** 满文创自(  )。,藏文,锡伯文,蒙古文,契丹文,,,C
第十一章,章节测验,单选题,,** 清时期，蒙古族文学家   将《红楼梦》翻译成蒙古文，深受蒙古族同胞的喜爱(  )。,博明,明安图,哈斯宝,海春生,,,C
第十一章,章节测验,单选题,,** 清朝统治者对藏传佛教进行了有效治理，对   活佛系统的权力、地位予以正式认定，将寺庙和宗教领袖纳入了地方行政体系(  )。,格鲁派,宁玛派,萨迦派,噶当派,,,A
第十一章,章节测验,单选题,,** 清时期，在西藏，由   主管藏政，独揽向中央奏事的权力(  )。,班禅,达赖,理藩院,驻藏大臣,,,D
第十一章,章节测验,单选题,,** 清朝时期，尊   为夫子，与孔子并称，是清朝大一统成功推动各族人民精神领域深度融合的显例(  )。,老子,关羽,文天祥,皇太极,,,B
第十一章,章节测验,单选题,,满蒙联姻在清朝统治和族群融合中起到了怎样的作用?(  ),加剧了满蒙之间的冲突和对立,巩固了清朝对蒙古的统治，促进了族群融合,对清朝统治没有显著影响，只是传统的“和亲”政策,削弱了蒙古的力量，使其无法对清朝构成威胁,,,B
第十一章,章节测验,单选题,,清前中期，康雍乾三帝的文化政策对清朝学术、国家认同以及多族群文化交融产生了怎样的影响?(  ),抑制了清朝学术的发展，加剧了各族群之间的冲突,促进了清朝学术的繁荣，增进了国家认同，推动了多族群文化的交融,对清朝学术和国家认同没有显著影响，多族群文化仍然保持独立,阻碍了中华文化的创新发展，各族群文化逐渐消失,,,B
第十一章,章节测验,单选题,,在清朝君臣描述盛治时，最常使用的语汇“同文”体现了怎样的治理理念?(  ),强调文化多样性，允许各族群文化独立发展,超越语言与族群界限，推进多族群文化的融合与国家统一,重视前朝治理经验，仅作为对传统治理方式的延续,忽视语言与族群差异，实行文化同化政策,,,B
第十一章,章节测验,单选题,,新疆台站在其发展过程中，功能发生了怎样的变化，并对新疆地区产生了哪些影响?(  ),功能始终未变，主要为军事服务,功能逐渐由军用转向民用，促进了经济发展与文化交流,功能完全转变为民用，与军事无关,功能逐渐减弱，对新疆地区影响有限,,,B
第十一章,章节测验,单选题,,** 以下哪项最能体现满、汉、蒙古、藏等族在服饰、饮食和建筑方面的文化融合?(  ),旗汉的流行仅代表了满族服饰文化的传播,满汉全席完全继承了汉族的饮食传统,北京紫禁城在建筑上仅体现了汉族文化元素,旗汉、满汉全席和北京紫禁城都是多民族文化融合的体现,,,D
第十一章,章节测验,单选题,,以下哪项最能体现满汉文化在文学创作方面的深度交融?(  ),满人精英开始吟诗作画，但作品仍主要体现满族文化特色,《名媛诗话》仅展示了满族女性对文学创作的影响,《红楼梦》融合了多种思想和文化元素，并展现了满汉语言的交融,科举制度仅促进了汉族文化的传播，对满族文化没有影响,,,C
第十一章,章节测验,单选题,,清前中期，内地与新疆的文化交融体现在哪些方面?(  ),汉族文化在新疆的传播，但新疆文化并未对汉族文化产生影响,新疆各地流行汉人的歌舞、杂技等，但仅限于娱乐活动,汉族传统艺术形式如剪纸和年画在新疆得到广泛应用，同时新疆文化也影响了汉族艺术,文化交融主要体现在建筑技艺上，其他领域并未有显著交融现象,,,C
第十一章,章节测验,单选题,,关于清初中俄在黑龙江流域的冲突及后续影响，下列哪一项描述是正确的?(  ),清军在雅克萨抗击沙俄侵略的战争中失败，导致沙俄进一步扩张,《中俄尼布楚条约》的签订，标志着中国开始与西方国家建立平等的外交关系,《中俄尼布楚条约》是中国与西方国家签订的第一个具有主权国家性质的条约，转变了传统的领土观念,沙俄进犯黑龙江流域并未引起清政府的重视，因此没有采取任何军事行动,,,C
第十一章,章节测验,单选题,,专门作《大义觉迷录》指出“夷”字是方域之名，并无贬义，天下一家、万物一体是“万世不易之常经”的清朝皇帝是(  )。,顺治,康熙,雍正,乾隆,,,C
第十一章,章节测验,单选题,,与元、明时期相比，清朝的多语合璧文书在哪些方面有显著的发展和不同?(  ),仅继承了前朝的传统，没有显著变化,规模较小，但在边疆治理方面有一定作用,在定制规模、功能和范围上都有了显著的发展，并在多方面发挥重要作用,完全摒弃了前朝的多语文书传统，形成了全新的制度,,,C
第十一章,章节测验,单选题,,清前中期，新疆的移民活动对当地族群结构产生了怎样的影响?(  ),族群结构更加单一，各民族之间交流减少,族群结构进一步多样化，形成了交错居住的格局,移民活动导致新疆地区社会动荡不安,移民活动对新疆的族群结构没有显著影响,,,B
第十一章,章节测验,单选题,,** 清朝第一部关于新疆、青海、西藏地名、人名的多语种大型辞典是(  )。,《四库全书》,《钦定西域同文志》,《开化府志》,《御制清文鉴》,,,B
第十一章,章节测验,单选题,,以下关于1771年土尔扈特部东归事件的说法，哪一项是正确的?(  ),土尔扈特部是在首领渥巴锡的率领下回归祖国的,乾隆帝对土尔扈特部的归来表示冷漠，并未给予特殊待遇,承德普陀宗乘庙的碑文是用英文、法文、蒙古文、藏文四种文字镌刻的,土尔扈特部东归事件对统一多民族国家的巩固和发展没有产生显著影响,,,A
第十一章,章节测验,单选题,,在南方清初的历史事件中，以下哪一项措施加强了中央王朝对西南地区的统治，并促进了当地社会经济文化的交流与发展?(  ),实施“闭关锁国”政策,推行“改土归流”政策,允许土司头人自治,推行札萨克制度与盟旗政策,,,B
第十一章,章节测验,单选题,,关于台湾的历史事件，下列哪一项描述是正确的?(  ),郑成功在东南沿海驱逐了日本殖民势力，使台湾重回祖国怀抱,1683年清政府统一台湾后，设立台湾为独立的省份,郑成功率军在东南沿海驱逐荷兰殖民势力，台湾重回祖国怀抱,1684年清政府设府置县于台湾，台湾成为中央直接管辖的特别行政区,,,C
第十一章,章节测验,单选题,,清朝疆域鼎盛之时，拥有(  )余万平方千米的陆地国土，以及辽阔的海疆，为现代统一多民族国家奠定了坚实的疆域版图格局。,960,980,1300,1500,,,C
第十一章,章节测验,单选题,,乾隆时期，清朝在西南地区和西藏地区分别采取了哪些行动来维护国家统一和稳定?(  ),在西南地区采取和谈策略，在西藏地区发动军事行动,在西南地区和西藏地区都采取了和谈策略,在西南地区采取战和并用的策略，在西藏地区发动军事行动,在西南地区和西藏地区都发动了军事行动,,,C
第十一章,章节测验,单选题,,关于清朝前中期大一统的特点及其政治和文化认同的表述，以下哪个选项最准确地反映了问题描述中的核心意义?(  ),清朝的大一统是纯粹的武力征服，缺乏政治和文化认同的建构,清朝的大一统高度重视政治和文化认同，通过构建新的正统观来统一多民族国家,清朝入关后，完全摒弃了中原士大夫的“华夷之辨”观念，实现了完全的民族融合,清朝的大一统仅仅体现在对蒙古、西南、东南等地的军事征服上，缺乏深层次的认同构建,,,B
第十一章,章节测验,单选题,,清朝大一统的政治观如何体现“天下一家”的族群观念?(  ),皇太极通过刑罚和差役的平等对待，强调满汉民族的平等地位,顺治帝主张满汉官民之间的严格区分，以保持满族的特权地位,康熙帝认为天下生民都应对清朝皇帝保持敬畏和距离,清朝皇帝通过强调天下一家，弱化了不同族群间的身份认同,,,A
第十一章,章节测验,单选题,,明清之际，清政府为何驳斥用“华夷之辨”强化族群对立的论调，并通过《大义觉迷录》强调“天下一家”的观念?(  ),为了维护满族特权，强调满族的优越性,为了加强中央集权，削弱地方族群势力,为了推动民族融合，构建统一的多民族国家,为了迎合汉族士人，争取他们的政治支持,,,C
第十一章,章节测验,单选题,,清政府推行“屯垦开发、以边养边”政策的主要目的是什么?(  ),加强中央对边疆的控制,促进边疆地区的经济发展和社会稳定,确保驻军粮食供应并缓解人口压力,增进不同民族之间的文化交流与融合,,,C
第十一章,章节测验,单选题,,清朝在台湾重回中央政府管辖后，为促进其发展采取了哪些措施?(  ),设置官署，鼓励农业发展,增加税收，限制汉人移民,禁止汉人前往台湾，维持原状,忽视台湾，任其荒芜,,,A
第十一章,章节测验,单选题,,清政府为填补战乱后的人口空白，采取了哪些措施来鼓励向特定地区的移民?(  ),增加赋税，限制人口流动,取消迁徙禁令，减免税赋并发放农业物资,严格管理人口，禁止迁徙,无视农业发展，限制移民政策,,,B
第十一章,章节测验,单选题,,** 新作物的引进和土地的开垦对清朝农业产出有何影响?(  ),导致农业产出下降,对农业产出没有明显影响,使农业产出保持稳定,使农业产出迅速提高,,,D
第十一章,章节测验,单选题,,** 清政府建立的全国性驿站邮传系统的核心是什么?(  ),地方州县驿站,京师皇华驿,边疆军事驿站,民间商业驿站,,,B
第十一章,章节测验,单选题,,** 在中国实行了两千多年的人头税在(  )时期被彻底废除?,民国,清朝,明朝,宋朝,,,B
第十一章,章节测验,单选题,,清朝八旗制度的经济功能体现在哪些方面?八大皇商在其中扮演了怎样的角色?(  ),八旗制度仅有政治和军事功能，八大皇商与此无关,八旗制度的经济功能体现在旗作为商业单位参与贸易，八大皇商是内务府商人的代表,八旗制度的经济功能有限，八大皇商仅起辅助作用,八旗制度的经济功能主要体现在对晋商的贸易网络的控制，八大皇商是其主要执行者,,,B
第十一章,章节测验,单选题,,清朝城乡市场网络体系发展分化为哪三大层级?它们各自的特点是什么?(  ),发展分化为流通枢纽城市、中等商业城镇和农村集市，各自特点分别为全国性流通中心、地区性商业中心和基层市场,发展分化为大城市、中小城市和乡村集市，特点相同，无明显区别,发展分化为税关、府县和村庄，各自独立，无相互联系,发展分化为沿海城市、内陆城市和山区集市，特点受地理位置影响,,,A
第十一章,章节测验,单选题,,清廷如何通过茶叶贸易来降低边疆治理成本并服务于边政和财政?(  ),清廷未利用茶叶贸易服务于边政和财政,清廷通过茶叶贸易征收税银，用于创赐喇嘛、修缮寺庙和发放兵饷,清廷的茶叶贸易主要在川藏地区进行，与其他地区无关,清廷的茶叶贸易主要是为了个人利益，而非服务于边政和财政,,,B
第十一章,章节测验,单选题,,清前中期，汉、满、蒙古等族在八旗驻防区内外的主要发展趋势是什么?(  ),各族保持独立，没有交流,各族间存在明显的冲突与对立,各族逐渐交流融合，形成交错分布格局,各族完全同化，失去各自特色,,,C
第十一章,章节测验,单选题,,清廷为加强伊犁地区的边防和恢复生产力采取了哪项重要措施?(  ),从中原地区调遣大量汉族士兵驻守伊犁,从盛京调遣锡伯族士兵和眷属西迁伊犁,沙俄签订和平条约，避免边境冲突,放弃伊犁地区，任由沙俄占领,,,B
第十一章,章节测验,单选题,,为服务于“文治”目标，清政府按照正统儒学的标准主持编撰了丛书(  )，重新梳理知识资源，重建价值体系、学术范式。,《四库全书》,《三礼义疏》,《钦定春秋传说汇纂》,《日讲春秋解义》,,,A
第十一章,章节测验,多选题,,1771年，西迁伏尔加河下游的漠西蒙古土尔扈特部在首领的率领下行万余里回归祖国，乾隆优礼有加，并在承德普陀宗乘庙立碑，亲自撰写碑文《御制土尔扈特全部归顺记》记述其万里东归的壮举，碑文用     文字镌刻，至今仍保存完好(  )。,汉文,满文,藏文,蒙古文,,,ABCD
第十一章,章节测验,多选题,,** 清朝时，在东北以    管辖旗人(  )。,盛京将军,宁古塔将军,黑龙江将军,松花江将军,,,ABC
第十一章,章节测验,多选题,,1780年夏，乾隆帝在承德避为山庄万树园设宴，宴请的宾客有     ，这场盛宴体现出清朝在治理边疆方面取得了重大的政治成果(  )。,金川木坪土司,班禅及其随行喇嘛,喀什噶尔伯克及回部贵族,蒙古王公及土尔扈特部贵族,,,ABCD
第十一章,章节测验,多选题,,** 清朝时，从美洲引进的耐旱作物包括(  )。,棉花,甘薯,烟草,马铃薯,,,BD
